0.00E+00,0.00E+00,0.122696,0.484375
1.67E-04,0.00E+00,0.12456,0.5
3.34E-04,0.00E+00,0.12559,0.53125
5.00E-04,0.00E+00,0.127092,0.53125
6.67E-04,0.00E+00,0.128545,0.53125
8.34E-04,0.00E+00,0.128306,0.53125
1.00E-03,0.00E+00,0.127092,0.515625
1.17E-03,0.00E+00,0.126348,0.484375
1.33E-03,0.00E+00,0.127092,0.453125
1.50E-03,0.00E+00,0.126845,0.4375
1.67E-03,0.00E+00,0.126097,0.40625
1.83E-03,0.00E+00,0.12482,0.40625
2.00E-03,0.00E+00,0.124298,0.390625
2.17E-03,0.00E+00,0.123237,0.359375
2.33E-03,0.00E+00,0.121315,0.34375
2.50E-03,0.00E+00,0.120465,0.3125
2.67E-03,0.00E+00,0.118115,0.3125
2.83E-03,0.00E+00,0.116891,0.296875
3.00E-03,0.00E+00,0.116266,0.265625
3.17E-03,0.00E+00,0.113674,0.265625
3.34E-03,0.00E+00,0.113339,0.25
3.50E-03,0.00E+00,0.111273,0.234375
3.67E-03,0.00E+00,0.110562,0.203125
3.84E-03,0.00E+00,0.107981,0.1875
4.00E-03,0.00E+00,0.10604,0.171875
4.17E-03,0.00E+00,0.103592,0.15625
4.34E-03,0.00E+00,0.101442,0.171875
4.50E-03,0.00E+00,0.100999,0.171875
4.67E-03,0.00E+00,0.0977688,0.15625
4.84E-03,0.00E+00,0.0958105,0.171875
5.00E-03,0.00E+00,0.093761,0.15625
5.17E-03,0.00E+00,0.0904961,0.171875
5.34E-03,0.00E+00,0.0881768,0.140625
5.50E-03,0.00E+00,0.0837989,0.125
5.67E-03,2.00E+00,0.0837989,0.09375
5.84E-03,2.00E+00,0.0796656,0.09375
6.00E-03,2.00E+00,0.0751041,0.09375
6.17E-03,2.00E+00,0.0742957,0.09375
6.34E-03,2.00E+00,0.0734722,0.078125
6.50E-03,2.00E+00,0.072633,0.078125
6.67E-03,2.00E+00,0.0672317,0.09375
6.84E-03,2.00E+00,0.0621622,0.09375
7.00E-03,2.00E+00,0.0599589,0.09375
7.17E-03,2.00E+00,0.0576397,0.078125
